#userId,itemId
1,43
1,45
1,45
1,5
1,27
1,45
1,9
1,25
1,47
2,39
2,11
2,7
2,26
2,21
2,27
2,29
2,35
3,31
3,16
3,36
3,31
3,1
3,40
4,41
4,12
4,2
4,21
5,7
5,9
5,27
6,42
7,32
7,12
7,41
7,4
7,13
7,37
7,15
7,14
8,49
9,2
9,21
9,49
9,8
9,33
9,16
9,6
10,46
10,29
10,34
10,7
10,44
10,5
10,18
11,3
11,11
11,7
11,36
11,12
11,1
11,6
12,32
12,19
12,12
12,39
12,22
12,10
12,16
13,36
13,17
13,34
13,8
13,38
13,34
14,13
14,5
14,22
14,1
14,36
14,19
14,45
14,4
14,15
15,44
16,44
16,30
16,40
16,35
16,34
17,38
17,26
17,31
17,47
17,34
17,14
17,13
17,8
17,21
18,13
18,10
18,18
19,29
19,39
19,20
19,32
19,36
19,2
19,12
20,8
20,44
20,35
20,22
20,11
20,32
20,41
20,35
20,19
21,33
22,27
23,39
23,44
24,16
24,49
24,43
24,31
24,42
24,46
24,19
24,3
24,44
25,35
25,44
25,26
25,31
25,41
26,16
26,41
26,27
26,28
26,48
26,14
26,14
26,30
26,13
27,10
27,8
27,23
27,8
27,47
27,16
27,11
27,38
28,44
29,25
29,41
29,31
29,32
29,32
29,15
29,38
30,44
31,41
31,39
31,45
32,11
32,30
32,15
32,48
32,16
32,45
32,10
32,16
33,36
33,7
33,3
33,39
33,45
33,44
34,43
34,42
34,37
34,20
34,15
34,11
35,41
35,21
35,42
36,2
36,24
37,34
37,6
37,12
37,22
37,14
37,3
38,38
39,33
39,20
39,2
39,17
39,2
39,28
40,14
40,43
40,45
40,24
40,44
40,43
41,39
41,10
41,10
41,38
41,34
41,48
42,48
43,21
43,33
43,26
43,13
43,1
43,26
43,9
43,42
44,1
44,45
44,39
44,21
44,8
44,41
44,13
44,48
44,49
45,28
45,38
45,14
45,23
45,34
45,16
45,22
45,19
45,33
46,1
46,18
46,33
46,46
46,26
46,41
46,46
46,33
47,23
47,32
47,26
47,10
48,26
48,20
48,3
49,14
49,45
49,42
49,23
49,30
49,21
50,30
50,45
50,23
50,45
50,21
50,43
51,18
51,19
51,35
51,41
51,15
51,48
51,24
51,46
51,26
52,24
52,45
52,6
52,8
52,36
52,34
52,40
52,35
53,23
53,10
53,30
53,47
53,25
53,25
53,49
53,37
54,22
54,7
55,11
55,19
55,27
55,2
55,14
56,20
56,46
56,47
56,32
56,12
56,44
56,15
57,47
57,34
58,36
58,17
58,31
59,12
59,13
59,23
59,48
60,3
60,23
60,18
60,1
60,7
61,39
61,43
62,48
62,39
62,28
62,13
62,23
62,11
62,26
62,5
62,27
63,16
63,1
63,24
63,23
63,47
63,16
63,9
64,23
64,18
64,5
64,22
64,15
65,11
66,45
66,19
66,25
66,39
66,14
67,10
68,7
69,39
69,20
69,15
69,7
70,24
71,24
71,32
71,37
71,10
71,11
71,11
72,21
72,4
72,30
72,10
72,29
72,36
73,34
73,14
73,34
73,8
73,7
73,11
73,21
73,11
74,19
74,17
74,10
74,7
75,19
75,22
76,11
77,36
77,17
77,46
77,35
77,49
77,13
77,49
77,36
77,10
78,16
78,18
78,46
78,14
78,20
78,33
79,4
79,43
80,48
80,28
80,5
80,32
81,17
81,17
81,40
81,29
82,7
82,6
83,49
83,20
83,29
83,10
83,34
84,10
84,31
84,4
84,44
84,37
84,20
85,46
85,43
85,7
85,43
85,8
85,17
85,3
85,22
86,47
86,23
86,21
86,39
86,31
86,11
87,10
87,38
87,10
87,39
88,37
89,38
89,34
89,6
90,35
90,11
90,16
90,39
90,37
90,42
90,8
90,17
90,7
91,13
91,23
91,20
91,22
91,35
91,30
91,33
92,29
92,43
93,13
93,2
93,42
93,31
93,29
94,41
94,6
94,39
94,47
94,38
94,28
94,16
95,32
95,18
95,36
96,10
96,4
96,21
96,26
97,29
97,46
97,7
97,23
97,37
97,30
97,44
97,24
97,24
98,8
98,10
98,49
98,2
98,24
99,44
99,42
99,47
99,35
99,31
99,30
99,23
99,40
99,37
100,24
100,48
100,3
100,6

